"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:21:17 GMT 2023","Wed Mar 29 12:21:17 GMT 2023","65","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 12:21:18 GMT 2023","Wed Mar 29 12:21:18 GMT 2023","318","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:20 GMT 2023","Wed Mar 29 12:21:21 GMT 2023","1007","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:21:12 GMT 2023","Wed Mar 29 12:21:13 GMT 2023","70","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:12 GMT 2023","Wed Mar 29 12:21:12 GMT 2023","145","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:17 GMT 2023","Wed Mar 29 12:21:18 GMT 2023","309","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:19 GMT 2023","Wed Mar 29 12:21:20 GMT 2023","661","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:21:18 GMT 2023","Wed Mar 29 12:21:18 GMT 2023","313","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:18 GMT 2023","Wed Mar 29 12:21:19 GMT 2023","1096","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:21:20 GMT 2023","Wed Mar 29 12:21:20 GMT 2023","512","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:21:17 GMT 2023","Wed Mar 29 12:21:17 GMT 2023","311","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:21:13 GMT 2023","Wed Mar 29 12:21:17 GMT 2023","4321","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
