"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 01:01:51 GMT 2023","Wed Jul 12 01:01:51 GMT 2023","151","BackEnd","","User EndPoint","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:53 GMT 2023","Wed Jul 12 01:01:55 GMT 2023","1809","EndToEnd","","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Jul 12 01:01:51 GMT 2023","Wed Jul 12 01:01:51 GMT 2023","308","BackEnd","","User EndPoint","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Jul 12 01:01:55 GMT 2023","Wed Jul 12 01:01:55 GMT 2023","664","EndToEnd","","","","","Login Com Sucesso",""
"passed","Wed Jul 12 01:01:55 GMT 2023","Wed Jul 12 01:01:58 GMT 2023","2270","EndToEnd","","","","","Finalizando ordem com sucesso",""
"passed","Wed Jul 12 01:01:52 GMT 2023","Wed Jul 12 01:01:52 GMT 2023","325","BackEnd","","User EndPoint","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:52 GMT 2023","Wed Jul 12 01:01:52 GMT 2023","303","BackEnd","","User EndPoint","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:51 GMT 2023","Wed Jul 12 01:01:52 GMT 2023","323","BackEnd","","User EndPoint","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:52 GMT 2023","Wed Jul 12 01:01:52 GMT 2023","291","BackEnd","","User EndPoint","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:51 GMT 2023","Wed Jul 12 01:01:55 GMT 2023","4334","BackEnd","","User EndPoint","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:51 GMT 2023","Wed Jul 12 01:01:51 GMT 2023","146","BackEnd","","User EndPoint","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:56 GMT 2023","Wed Jul 12 01:01:57 GMT 2023","1392","EndToEnd","","","","","Login Inválido",""
