"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 13:05:33 GMT 2023","Wed Mar 29 13:05:34 GMT 2023","588","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 13:05:31 GMT 2023","Wed Mar 29 13:05:31 GMT 2023","374","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:26 GMT 2023","Wed Mar 29 13:05:26 GMT 2023","104","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:32 GMT 2023","Wed Mar 29 13:05:32 GMT 2023","361","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:34 GMT 2023","Wed Mar 29 13:05:35 GMT 2023","953","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 13:05:32 GMT 2023","Wed Mar 29 13:05:33 GMT 2023","1053","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 13:05:34 GMT 2023","Wed Mar 29 13:05:34 GMT 2023","428","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 13:05:26 GMT 2023","Wed Mar 29 13:05:26 GMT 2023","38","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:31 GMT 2023","Wed Mar 29 13:05:32 GMT 2023","342","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:31 GMT 2023","Wed Mar 29 13:05:31 GMT 2023","348","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 13:05:26 GMT 2023","Wed Mar 29 13:05:31 GMT 2023","4371","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 13:05:32 GMT 2023","Wed Mar 29 13:05:32 GMT 2023","349","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
