"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 01:01:35 GMT 2023","Wed Jul 12 01:01:35 GMT 2023","348","BackEnd","","User EndPoint","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:35 GMT 2023","Wed Jul 12 01:01:36 GMT 2023","357","BackEnd","","User EndPoint","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:39 GMT 2023","Wed Jul 12 01:01:41 GMT 2023","1374","EndToEnd","","","","","Login Inválido",""
"passed","Wed Jul 12 01:01:34 GMT 2023","Wed Jul 12 01:01:35 GMT 2023","360","BackEnd","","User EndPoint","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:41 GMT 2023","Wed Jul 12 01:01:43 GMT 2023","2423","EndToEnd","","","","","Finalizando ordem com sucesso",""
"passed","Wed Jul 12 01:01:34 GMT 2023","Wed Jul 12 01:01:34 GMT 2023","126","BackEnd","","User EndPoint","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:34 GMT 2023","Wed Jul 12 01:01:38 GMT 2023","4392","BackEnd","","User EndPoint","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:36 GMT 2023","Wed Jul 12 01:01:39 GMT 2023","3113","EndToEnd","","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Jul 12 01:01:35 GMT 2023","Wed Jul 12 01:01:35 GMT 2023","327","BackEnd","","User EndPoint","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:34 GMT 2023","Wed Jul 12 01:01:34 GMT 2023","146","BackEnd","","User EndPoint","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Jul 12 01:01:34 GMT 2023","Wed Jul 12 01:01:34 GMT 2023","347","BackEnd","","User EndPoint","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Jul 12 01:01:39 GMT 2023","Wed Jul 12 01:01:41 GMT 2023","1502","EndToEnd","","","","","Login Com Sucesso",""
