"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 00:54:09 GMT 2023","Wed Jul 12 00:54:09 GMT 2023","218","BackEnd","","User EndPoint","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:14 GMT 2023","Wed Jul 12 00:54:16 GMT 2023","1979","EndToEnd","","","","","Finalizando ordem com sucesso",""
"passed","Wed Jul 12 00:54:08 GMT 2023","Wed Jul 12 00:54:08 GMT 2023","115","BackEnd","","User EndPoint","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:09 GMT 2023","Wed Jul 12 00:54:09 GMT 2023","215","BackEnd","","User EndPoint","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:13 GMT 2023","Wed Jul 12 00:54:14 GMT 2023","1163","EndToEnd","","","","","Login Com Sucesso",""
"passed","Wed Jul 12 00:54:09 GMT 2023","Wed Jul 12 00:54:09 GMT 2023","210","BackEnd","","User EndPoint","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:13 GMT 2023","Wed Jul 12 00:54:14 GMT 2023","1132","EndToEnd","","","","","Login Inválido",""
"passed","Wed Jul 12 00:54:09 GMT 2023","Wed Jul 12 00:54:09 GMT 2023","210","BackEnd","","User EndPoint","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:08 GMT 2023","Wed Jul 12 00:54:08 GMT 2023","134","BackEnd","","User EndPoint","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Jul 12 00:54:08 GMT 2023","Wed Jul 12 00:54:09 GMT 2023","222","BackEnd","","User EndPoint","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Jul 12 00:54:10 GMT 2023","Wed Jul 12 00:54:13 GMT 2023","3062","EndToEnd","","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Jul 12 00:54:08 GMT 2023","Wed Jul 12 00:54:13 GMT 2023","4213","BackEnd","","User EndPoint","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
