"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 12 00:57:15 GMT 2023","Wed Jul 12 00:57:16 GMT 2023","770","EndToEnd","","","","","Login Inválido",""
"passed","Wed Jul 12 00:57:12 GMT 2023","Wed Jul 12 00:57:12 GMT 2023","223","BackEnd","","User EndPoint","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:11 GMT 2023","Wed Jul 12 00:57:12 GMT 2023","230","BackEnd","","User EndPoint","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Jul 12 00:57:11 GMT 2023","Wed Jul 12 00:57:11 GMT 2023","155","BackEnd","","User EndPoint","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:15 GMT 2023","Wed Jul 12 00:57:15 GMT 2023","634","EndToEnd","","","","","Login Com Sucesso",""
"passed","Wed Jul 12 00:57:13 GMT 2023","Wed Jul 12 00:57:15 GMT 2023","1684","EndToEnd","","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Jul 12 00:57:11 GMT 2023","Wed Jul 12 00:57:11 GMT 2023","146","BackEnd","","User EndPoint","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:16 GMT 2023","Wed Jul 12 00:57:18 GMT 2023","2068","EndToEnd","","","","","Finalizando ordem com sucesso",""
"passed","Wed Jul 12 00:57:11 GMT 2023","Wed Jul 12 00:57:16 GMT 2023","4251","BackEnd","","User EndPoint","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:12 GMT 2023","Wed Jul 12 00:57:12 GMT 2023","231","BackEnd","","User EndPoint","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:12 GMT 2023","Wed Jul 12 00:57:13 GMT 2023","235","BackEnd","","User EndPoint","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Jul 12 00:57:12 GMT 2023","Wed Jul 12 00:57:12 GMT 2023","258","BackEnd","","User EndPoint","","","[POST] CREATE - SUCCESSFUL",""
