"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:31:37 GMT 2023","Wed Mar 29 12:31:37 GMT 2023","891","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:31:34 GMT 2023","Wed Mar 29 12:31:34 GMT 2023","353","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:36 GMT 2023","Wed Mar 29 12:31:36 GMT 2023","538","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:31:36 GMT 2023","Wed Mar 29 12:31:37 GMT 2023","451","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:31:33 GMT 2023","Wed Mar 29 12:31:33 GMT 2023","373","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 12:31:33 GMT 2023","Wed Mar 29 12:31:33 GMT 2023","364","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:34 GMT 2023","Wed Mar 29 12:31:36 GMT 2023","1156","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:31:33 GMT 2023","Wed Mar 29 12:31:34 GMT 2023","373","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:34 GMT 2023","Wed Mar 29 12:31:34 GMT 2023","356","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:28 GMT 2023","Wed Mar 29 12:31:28 GMT 2023","123","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:28 GMT 2023","Wed Mar 29 12:31:28 GMT 2023","365","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:28 GMT 2023","Wed Mar 29 12:31:33 GMT 2023","4368","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
