"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:53:11 GMT 2023","Wed Mar 29 12:53:11 GMT 2023","135","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:17 GMT 2023","Wed Mar 29 12:53:18 GMT 2023","1162","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:53:11 GMT 2023","Wed Mar 29 12:53:15 GMT 2023","4513","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:17 GMT 2023","Wed Mar 29 12:53:17 GMT 2023","321","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:20 GMT 2023","Wed Mar 29 12:53:21 GMT 2023","1068","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:53:18 GMT 2023","Wed Mar 29 12:53:19 GMT 2023","699","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:53:19 GMT 2023","Wed Mar 29 12:53:20 GMT 2023","577","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:53:16 GMT 2023","Wed Mar 29 12:53:17 GMT 2023","319","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:11 GMT 2023","Wed Mar 29 12:53:11 GMT 2023","72","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:16 GMT 2023","Wed Mar 29 12:53:16 GMT 2023","326","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:16 GMT 2023","Wed Mar 29 12:53:16 GMT 2023","313","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:53:15 GMT 2023","Wed Mar 29 12:53:16 GMT 2023","328","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
