"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:59:28 GMT 2023","Wed Mar 29 12:59:28 GMT 2023","81","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:33 GMT 2023","Wed Mar 29 12:59:33 GMT 2023","216","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:34 GMT 2023","Wed Mar 29 12:59:35 GMT 2023","502","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:59:32 GMT 2023","Wed Mar 29 12:59:32 GMT 2023","216","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 12:59:35 GMT 2023","Wed Mar 29 12:59:35 GMT 2023","334","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:59:33 GMT 2023","Wed Mar 29 12:59:33 GMT 2023","213","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:33 GMT 2023","Wed Mar 29 12:59:33 GMT 2023","215","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:33 GMT 2023","Wed Mar 29 12:59:34 GMT 2023","1011","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:59:28 GMT 2023","Wed Mar 29 12:59:32 GMT 2023","4220","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:35 GMT 2023","Wed Mar 29 12:59:36 GMT 2023","858","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:59:32 GMT 2023","Wed Mar 29 12:59:33 GMT 2023","237","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:59:28 GMT 2023","Wed Mar 29 12:59:28 GMT 2023","39","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
