"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:31:09 GMT 2023","Wed Mar 29 12:31:11 GMT 2023","1608","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:31:12 GMT 2023","Wed Mar 29 12:31:13 GMT 2023","1058","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:31:04 GMT 2023","Wed Mar 29 12:31:08 GMT 2023","4321","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:03 GMT 2023","Wed Mar 29 12:31:03 GMT 2023","147","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:12 GMT 2023","Wed Mar 29 12:31:12 GMT 2023","513","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:31:11 GMT 2023","Wed Mar 29 12:31:12 GMT 2023","661","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:31:08 GMT 2023","Wed Mar 29 12:31:08 GMT 2023","317","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 12:31:03 GMT 2023","Wed Mar 29 12:31:04 GMT 2023","59","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:08 GMT 2023","Wed Mar 29 12:31:09 GMT 2023","309","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:09 GMT 2023","Wed Mar 29 12:31:09 GMT 2023","308","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:09 GMT 2023","Wed Mar 29 12:31:09 GMT 2023","316","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:31:09 GMT 2023","Wed Mar 29 12:31:09 GMT 2023","317","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
