"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 13:40:21 GMT 2023","Wed Mar 29 13:40:21 GMT 2023","85","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:21 GMT 2023","Wed Mar 29 13:40:25 GMT 2023","4218","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:21 GMT 2023","Wed Mar 29 13:40:21 GMT 2023","28","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:27 GMT 2023","Wed Mar 29 13:40:28 GMT 2023","883","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 13:40:26 GMT 2023","Wed Mar 29 13:40:26 GMT 2023","318","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:26 GMT 2023","Wed Mar 29 13:40:27 GMT 2023","212","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:25 GMT 2023","Wed Mar 29 13:40:26 GMT 2023","222","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 13:40:26 GMT 2023","Wed Mar 29 13:40:26 GMT 2023","205","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:28 GMT 2023","Wed Mar 29 13:40:29 GMT 2023","826","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 13:40:26 GMT 2023","Wed Mar 29 13:40:26 GMT 2023","217","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:40:28 GMT 2023","Wed Mar 29 13:40:28 GMT 2023","446","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 13:40:28 GMT 2023","Wed Mar 29 13:40:28 GMT 2023","385","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
