"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 12:43:14 GMT 2023","Wed Mar 29 12:43:14 GMT 2023","227","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:16 GMT 2023","Wed Mar 29 12:43:17 GMT 2023","671","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
"passed","Wed Mar 29 12:43:18 GMT 2023","Wed Mar 29 12:43:19 GMT 2023","1096","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 12:43:17 GMT 2023","Wed Mar 29 12:43:18 GMT 2023","564","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 12:43:10 GMT 2023","Wed Mar 29 12:43:14 GMT 2023","4233","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:15 GMT 2023","Wed Mar 29 12:43:15 GMT 2023","221","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:14 GMT 2023","Wed Mar 29 12:43:15 GMT 2023","224","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:09 GMT 2023","Wed Mar 29 12:43:10 GMT 2023","168","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:15 GMT 2023","Wed Mar 29 12:43:16 GMT 2023","1447","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 12:43:10 GMT 2023","Wed Mar 29 12:43:10 GMT 2023","51","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 12:43:14 GMT 2023","Wed Mar 29 12:43:14 GMT 2023","218","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 12:43:14 GMT 2023","Wed Mar 29 12:43:14 GMT 2023","225","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
