"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 13:41:30 GMT 2023","Wed Mar 29 13:41:30 GMT 2023","156","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:35 GMT 2023","Wed Mar 29 13:41:36 GMT 2023","325","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:36 GMT 2023","Wed Mar 29 13:41:37 GMT 2023","1102","chromium","Sauce Demo/UI/Inventory.spec.ts","","","","Adicionar Item ao Carrinho com Sucesso",""
"passed","Wed Mar 29 13:41:35 GMT 2023","Wed Mar 29 13:41:35 GMT 2023","328","chromium","Sauce Demo/API/User.spec.ts","","","","[PUT] UPDATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:36 GMT 2023","Wed Mar 29 13:41:36 GMT 2023","314","chromium","Sauce Demo/API/User.spec.ts","","","","[PATCH] DELETE - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:30 GMT 2023","Wed Mar 29 13:41:34 GMT 2023","4326","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] DELAYED RESPONSE - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:34 GMT 2023","Wed Mar 29 13:41:35 GMT 2023","323","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] SINGLE USER - NOT FOUND",""
"passed","Wed Mar 29 13:41:38 GMT 2023","Wed Mar 29 13:41:38 GMT 2023","547","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Inválido",""
"passed","Wed Mar 29 13:41:35 GMT 2023","Wed Mar 29 13:41:35 GMT 2023","305","chromium","Sauce Demo/API/User.spec.ts","","","","[POST] CREATE - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:38 GMT 2023","Wed Mar 29 13:41:39 GMT 2023","1011","chromium","Sauce Demo/UI/Order.spec.ts","","","","Finalizando ordem com sucesso",""
"passed","Wed Mar 29 13:41:30 GMT 2023","Wed Mar 29 13:41:30 GMT 2023","71","chromium","Sauce Demo/API/User.spec.ts","","","","[GET] LIST USERS - SUCCESSFUL",""
"passed","Wed Mar 29 13:41:37 GMT 2023","Wed Mar 29 13:41:38 GMT 2023","658","chromium","Sauce Demo/UI/Login.spec.ts","","","","Login Com Sucesso",""
